Player,Team,Pos,Injury,Status
Michael Mayer,15,TE,Ankle,Questionable
Baker Mayfield,28,QB,Shoulder - AC Joint,Questionable
Cade Mays,25,C,Ankle,Questionable
Luke McCaffrey,18,WR,Collarbone,IR
J.J. McCarthy,21,QB,Concussion,Questionable
Erik McCoy,27,C,Biceps,IR
Roger McCreary,32,CB,Hip,Questionable
Micah McFadden,20,LB,Foot,IR
Kaleb McGary,26,OT,Leg,IR
Kenny McIntosh,29,RB,Knee - ACL,IR
Terry McLaurin,18,WR,Quadriceps,Questionable
Jalen McLeod,11,LB,Lower Body,IR-R
Jalen McMillan,28,WR,Neck,IR-R
Bub Means,27,WR,Lower Leg,IR
DK Metcalf,6,WR,Ankle,Questionable
Andrew Meyer,1,C,Undisclosed,IR-R
Kendre Miller,27,RB,Knee - ACL,IR
Kolton Miller,15,OT,Ankle,IR
Rylie Mills,29,DT,Knee - ACL,NFI-R
Joe Mixon,10,RB,Foot,NFI-R
Tre'von Moehrig,25,S,Suspension,Reserve-Sus
D.J. Montgomery,12,WR,Undisclosed,IR
Dan Moore,9,OT,Knee,Questionable
David Moore,25,WR,Elbow,IR
Rondale Moore,21,WR,Knee,IR
T.J. Moore,20,CB,Upper Leg,IR
Benjamin Morrison,28,CB,Hamstring,Questionable
Darius Muasau,20,LB,Ankle,IR
Andrew Mukuba,17,S,Ankle,Out
Sean Murphy-Bunting,31,CB,Knee,NFI-R
Eric Murray,11,S,Neck,IR
Kyler Murray,31,QB,Foot,IR
Malik Nabers,20,WR,Knee - ACL,IR
Evan Neal,20,OG,Hamstring,IR
Matt Nelson,21,OT,Undisclosed,IR
Luke Newman,23,OG,Foot,Questionable
Lucas Niang,18,OT,Knee - ACL,IR
Nick Niemann,24,LB,Pectoral,IR
Keisean Nixon,24,CB,Neck,Questionable
Walter Nolen,31,DT,Knee,Questionable
Omarr Norman-Lott,16,DT,Knee - ACL,IR
Storm Norton,26,OT,Foot,IR
Tyler Nubin,20,S,Neck,Questionable
Dayo Odeyingbo,23,DE,Achilles,IR
Osa Odighizuwa,19,DT,Elbow,Questionable
Otito Ogbonnia,14,DT,Elbow,IR-R
Azeez Ojulari,17,LB,Hamstring,IR
Ty Okada,29,S,Oblique,Doubtful
