Player,Team,Pos,Injury,Status,Est. Return
Marcus Mariota,WAS,QB,Knee - MCL,Questionable,Subscribers Only
Devon Marshall,FA,CB,Undisclosed,Questionable,Subscribers Only
Nick Martin,SF,LB,Hamstring,IR,Subscribers Only
Bam Martin-Scott,CAR,LB,Hamstring,IR-R,Subscribers Only
RJ Maryland,FA,TE,Hamstring,Questionable,Subscribers Only
Moliki Matavao,NO,TE,Knee,IR,Subscribers Only
Damarri Mathis,CLE,CB,Undisclosed,IR,Subscribers Only
Phidarian Mathis,BUF,DT,Suspension,Reserve-Sus,Subscribers Only
Scott Matlock,LAC,FB,Undisclosed,IR-R,Subscribers Only
Francis Mauigoa,NYG,OG,Upper Body,Questionable,Subscribers Only
Dorian Mausi,TEN,LB,Undisclosed,IR-R,Subscribers Only
Cade Mays,DET,C,Wrist,IR-R,Subscribers Only
Eric McAlister,FA,WR,Foot,Questionable,Subscribers Only
Christian McCaffrey,SF,RB,Undisclosed,Questionable,Subscribers Only
Ray-Ray McCloud,FA,WR,Undisclosed,Questionable,Subscribers Only
Kaleb McGary,ATL,OT,Leg,Reserve-Ret,Subscribers Only
Dwight McGlothern,FA,CB,Undisclosed,Questionable,Subscribers Only
Sean McKeon,FA,TE,Undisclosed,Questionable,Subscribers Only
DeShawn McKnight,TB,DT,Hamstring,IR,Subscribers Only
Tanner McLachlan,FA,TE,Undisclosed,Questionable,Subscribers Only
Jalen McMillan,TB,WR,Knee,Questionable,Subscribers Only
Jeremy McNichols,WAS,RB,Quadriceps,IR-R,Subscribers Only
Zech McPhearson,FA,CB,Undisclosed,Questionable,Subscribers Only
Malick Meiga,FA,WR,Undisclosed,Questionable,Subscribers Only
Patrick Mekari,JAX,OG,Back,IR-R,Subscribers Only
Graham Mertz,HOU,QB,Knee - ACL,IR,Subscribers Only
