Player,Team,Pos,Injury,Status
Asim Richards,27,OT,Ankle,Questionable
Anthony Richardson,12,QB,Orbital,IR
Calvin Ridley,9,WR,Lower Leg,IR
J.J. Roberts,28,S,Knee,IR
Sam Roberts,26,DT,Knee,IR
Kye Robichaux,22,RB,Undisclosed,IR
Jakob Robinson,30,CB,Forearm,IR
Janarius Robinson,16,DE,Foot,IR
Tavius Robinson,8,LB,Foot,IR-R
Levi Drake Rodriguez,21,DT,Neck,Questionable
Eric Rogers,14,CB,Undisclosed,IR
Christian Roland-Wallace,16,CB,Back,IR
Kurtis Rourke,30,QB,Knee,NFI-R
Jaquelin Roy,4,DT,Undisclosed,IR
Christian Rozeboom,25,LB,Hip,Questionable
J.J. Russell,31,LB,Concussion,IR
Nick Saldiveri,27,OG,Knee,IR
Curtis Samuel,3,WR,Elbow,IR
Jack Sanborn,19,LB,Groin,IR
Drew Sanders,13,LB,Foot,IR-R
Jason Sanders,1,K,Hip,IR-R
Miles Sanders,19,RB,Knee,IR
Eric Saubert,29,TE,Calf,IR
Max Scharping,6,OG,Knee,IR
Brenden Schooler,4,S,Ankle,Questionable
Wes Schweitzer,4,C,Undisclosed,Reserve-Ret
Daniel Scott,12,S,Knee,IR
Eric Scott,16,CB,Undisclosed,IR
Valentin Senn,31,OT,Undisclosed,IR
Tim Settle,10,DT,Foot,IR
Spencer Shrader,12,K,Knee - ACL + MCL,IR
Josh Simmons,16,OT,Wrist,IR
Cam Skattebo,20,RB,Ankle,IR
Jacob Slade,6,DT,Undisclosed,IR
Rashawn Slater,14,OT,Kneecap,IR
Darius Slay,3,CB,Personal,Reserve-DNR
Braden Smith,12,OT,Concussion,Questionable
Elerson Smith,7,DE,Undisclosed,Reserve-Ret
Geno Smith,15,QB,Shoulder,Questionable
Jaden Smith,28,WR,Undisclosed,IR
Jaylin Smith,10,CB,Undisclosed,IR
Terell Smith,23,CB,Knee,IR
Trey Smith,16,OG,Ankle,Questionable
Tykee Smith,28,S,Neck,Questionable
Za'Darius Smith,17,DE,Undisclosed,Reserve-Ret
L'Jarius Sneed,9,CB,Quadriceps,IR
Colby Sorsdal,22,OT,Leg,IR
Tyrique Stevenson,23,CB,Hip,Questionable
M.J. Stewart,10,S,Quadriceps,IR
Shemar Stewart,5,DE,Knee,IR
Dorian Strong,3,CB,Neck,IR
Jalen Sundell,29,C,Knee,IR
Chazz Surratt,29,LB,Ankle,IR
Darrell Taylor,10,DE,Ankle,IR
Jawaan Taylor,16,OT,Triceps,Questionable
Patrick Taylor,30,RB,Shoulder,IR
Trent Taylor,30,WR,Undisclosed,IR
Tyrod Taylor,2,QB,Groin,Questionable
Cam Taylor-Britt,5,CB,Foot,IR
Dadrion Taylor-Demerson,31,S,Ankle,Questionable
Wyatt Teller,7,OG,Calf,Questionable
A.J. Terrell,26,CB,Neck,Questionable
Kayvon Thibodeaux,20,LB,Shoulder,Questionable
Azareye'h Thomas,2,CB,Shoulder,Questionable
Ian Thomas,15,TE,Calf,Questionable
Juanyeh Thomas,19,S,Migraine,NFI-R
Keir Thomas,32,LB,Undisclosed,IR
Starling Thomas,31,CB,Knee - ACL,IR
Skylar Thompson,6,QB,Hamstring,IR
Corey Thornton,25,CB,Lower Leg,IR
Dont'e Thornton,15,WR,Concussion,Questionable
Tre Tomlinson,30,CB,Undisclosed,IR
Khyiris Tonga,4,DT,Chest,Questionable
Tyrone Tracy,20,RB,Hip,Questionable
Jordan Travis,2,QB,Lower Leg,Reserve-Ret
Bralen Trice,26,LB,Knee,IR
Cory Trice,6,CB,Knee,IR
JT Tuimoloau,12,DE,Head,Questionable
Ezekiel Turner,22,LB,Foot,IR
Payton Turner,19,DE,Ribs,IR-R
Shemar Turner,23,DT,Knee - ACL,IR
Shy Tuttle,9,DT,Concussion,Questionable
Lukas Van Ness,24,DE,Foot,Questionable
Ben VanSumeren,17,FB,Knee,IR
Alijah Vera-Tucker,2,OG,Triceps,IR
Malik Verdon,26,S,Shoulder,NFI-R
Travis Vokolek,31,TE,Neck,IR
Cordell Volson,5,OG,Shoulder,IR
Dayton Wade,8,WR,Ribs,IR
David Walker,28,LB,Knee,IR
Jalon Walker,26,LB,Quadriceps,Questionable
Johnny Walker,13,LB,Undisclosed,IR
Justin Walley,12,CB,Knee - ACL,IR
Charvarius Ward,12,CB,Concussion,Questionable
Denzel Ward,7,CB,Calf,Questionable
Jimmie Ward,10,S,Foot,PUP-R
Fred Warner,30,LB,Ankle,IR
Ar'Darius Washington,8,S,Achilles,PUP-R
Broderick Washington,8,DT,Achilles,IR
Darnell Washington,6,TE,Concussion,Questionable
Parker Washington,11,WR,Hip,Questionable
Savion Washington,14,OT,Undisclosed,PUP-R
Deshaun Watson,7,QB,Achilles,PUP-R
Justin Watson,10,WR,Achilles,IR
Nathaniel Watson,7,LB,Biceps,IR
Xavier Weaver,31,WR,Hamstring,Questionable
Kristian Welch,24,LB,Concussion,Questionable
Carson Wentz,21,QB,Shoulder,IR
Tyrone Wheatley,26,OT,Undisclosed,IR
Dontayvion Wicks,24,WR,Ankle,Questionable
Cameron Williams,17,OT,Shoulder,IR
Darious Williams,32,CB,Lower Leg,Questionable
John Williams,24,OT,Back,PUP-R
Jonah Williams,31,OT,Shoulder,IR
Josh Williams,28,RB,Suspension,Reserve-Sus
Mike Williams,14,WR,Undisclosed,Reserve-Ex
Milton Williams,4,DT,Ankle,IR
Mykel Williams,30,DE,Knee - ACL,IR
Savion Williams,24,WR,Foot,Questionable
Garrett Wilson,2,WR,Knee,IR
Jack Wilson,12,OT,Undisclosed,IR
Jared Wilson,4,OG,Ankle,Questionable
Johnny Wilson,17,WR,Knee,IR
Mack Wilson,31,LB,Ribs,IR
Marco Wilson,5,CB,Hamstring,IR
Andrew Wingard,11,S,Concussion,Questionable
Tristan Wirfs,28,OT,Oblique,Questionable
Rashad Wisdom,28,S,Quadriceps,IR-R
Deatrich Wise,18,DE,Quadriceps,IR
Hunter Wohler,12,S,Foot,IR
Brock Wright,22,TE,Neck,IR
Devonte Wyatt,24,DT,Ankle,IR
Dareke Young,29,WR,Quadriceps,IR-R
Landon Young,27,OT,Ankle,IR
Chandler Zavala,25,OG,Calf,IR
Shane Zylstra,22,TE,Knee,IR-R
