Player,Team,Pos,Injury,Status,Est. Return
Daelin Hayes,FA,LB,Undisclosed,Questionable,Subscribers Only
Josh Hayes,TB,CB,Concussion,Out,Subscribers Only
Joel Heath,FA,DE,Knee - ACL,Questionable,Subscribers Only
Charlie Heck,HOU,OT,Foot,PUP-R,Subscribers Only
Matt Hembrough,ARI,C,Back,IR,Subscribers Only
Peyton Hendershot,DAL,TE,Ankle,IR,Subscribers Only
CJ Henderson,CAR,CB,Concussion,Inactive,Subscribers Only
Xavier Henderson,FA,S,Undisclosed,Questionable,Subscribers Only
Matt Hennessy,ATL,OG,Knee,IR,Subscribers Only
Ra'Shaun Henry,FA,WR,Undisclosed,Questionable,Subscribers Only
Khalil Herbert,CHI,RB,Ankle,IR-R,Subscribers Only
Will Hernandez,ARI,OG,Knee,Questionable,Subscribers Only
Chandon Herring,FA,OG,Undisclosed,Questionable,Subscribers Only
Parker Hesse,FA,TE,Undisclosed,Out,Subscribers Only
Cameron Heyward,PIT,DE,Groin,Questionable,Subscribers Only
Tee Higgins,CIN,WR,Hamstring,Out,Subscribers Only
Dontrell Hilliard,FA,RB,Neck,Questionable,Subscribers Only
Nyheim Hines,BUF,RB,Knee,NFI-R,Subscribers Only
Nate Hobbs,LV,CB,Ankle,Questionable,Subscribers Only
T.J. Hockenson,MIN,TE,Ribs,Questionable,Subscribers Only
Cooper Hodges,JAX,OT,Knee,IR,Subscribers Only
Cole Holcomb,PIT,LB,Knee,IR,Subscribers Only
Will Holden,FA,OT,Calf,Questionable,Subscribers Only
Mack Hollins,ATL,WR,Ankle,Out,Subscribers Only
Cody Hollister,FA,WR,Neck,Questionable,Subscribers Only
Jacob Hollister,FA,TE,Undisclosed,Questionable,Subscribers Only
Hendon Hooker,DET,QB,Knee - ACL,NFI-R,Subscribers Only
Austin Hooper,LV,TE,Calf,Questionable,Subscribers Only
Jaycee Horn,CAR,CB,Hamstring,IR,Subscribers Only
James Houston,DET,LB,Ankle,IR,Subscribers Only
Justin Houston,CAR,LB,Hamstring,IR,Subscribers Only
Hayden Howerton,FA,OG,Undisclosed,Out,Subscribers Only
Brian Hoyer,LV,QB,Knee,Questionable,Subscribers Only
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,Subscribers Only
Sam Hubbard,CIN,DE,Ankle,Out,Subscribers Only
Rodney Hudson,FA,C,Knee,Questionable,Subscribers Only
Evan Hull,IND,RB,Knee,IR,Subscribers Only
Marlon Humphrey,BAL,CB,Hamstring,Questionable,Subscribers Only
D.J. Humphries,ARI,OT,Ankle,Questionable,Subscribers Only
Robert Hunt,MIA,OG,Hamstring,Questionable,Subscribers Only
Caleb Huntley,FA,RB,Achilles,Questionable,Subscribers Only
Jalen Hurd,FA,WR,Undisclosed,Reserve-Ret,Subscribers Only
Allen Hurns,FA,WR,Wrist,Questionable,Subscribers Only
John Hurst,FA,WR,Ankle,Questionable,Subscribers Only
Jalen Hurts,PHI,QB,Knee,Questionable,Subscribers Only
Micah Hyde,BUF,S,Arm,Questionable,Subscribers Only
Ishmael Hyman,FA,WR,Undisclosed,Questionable,Subscribers Only
Mohamed Ibrahim,FA,RB,Hip,Out,Subscribers Only
George Iloka,FA,S,Knee - ACL,Questionable,Subscribers Only
Mark Ingram,FA,RB,Knee - MCL,Questionable,Subscribers Only
Matt Ioannidis,FA,DT,Back,Questionable,Subscribers Only
Isaiah Irving,FA,LB,Back,Questionable,Subscribers Only
Thomas Ives,FA,WR,Undisclosed,Questionable,Subscribers Only
Myles Jack,PHI,LB,Personal,Reserve-Ret,Subscribers Only
Adoree' Jackson,NYG,CB,Concussion,Out,Subscribers Only
Branden Jackson,FA,DE,Spine,Questionable,Subscribers Only
Deon Jackson,NYG,RB,Concussion,Out,Subscribers Only
Drake Jackson,SF,DE,Knee,Questionable,Subscribers Only
J.C. Jackson,NE,CB,Personal,Out,Subscribers Only
Kareem Jackson,DEN,S,Suspension,Reserve-Sus,Subscribers Only
Kearis Jackson,TEN,WR,Ankle,IR,Subscribers Only
Warren Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
Ja'Wuan James,FA,OT,Achilles,Questionable,Subscribers Only
Richie James,KC,WR,Knee - MCL,IR-R,Subscribers Only
Grady Jarrett,ATL,DT,Knee - ACL,IR,Subscribers Only
Justin Jefferson,MIN,WR,Hamstring,IR-R,Subscribers Only
Jalen Jelks,FA,DE,Undisclosed,Questionable,Subscribers Only
Elgton Jenkins,GB,OG,Knee,Questionable,Subscribers Only
Jaray Jenkins,FA,WR,Undisclosed,Questionable,Subscribers Only
Jordan Jenkins,FA,DE,Knee - ACL,Questionable,Subscribers Only
Nash Jensen,CAR,OG,Coach's Decision,Inactive,Subscribers Only
Ryan Jensen,TB,C,Knee,IR,Subscribers Only
Bisi Johnson,FA,WR,Knee - ACL,Questionable,Subscribers Only
Brandon Johnson,DEN,WR,Hamstring,IR,Subscribers Only
Jahmir Johnson,FA,OT,Undisclosed,Questionable,Subscribers Only
Jakob Johnson,LV,FB,Concussion,Questionable,Subscribers Only
Josh Johnson,FA,RB,Undisclosed,Questionable,Subscribers Only
Nazeeh Johnson,KC,S,Knee - ACL,IR,Subscribers Only
Roderick Johnson,PHI,OT,Undisclosed,IR,Subscribers Only
Willie Johnson,FA,WR,Undisclosed,Questionable,Subscribers Only
Aaron Jones,GB,RB,Hamstring,Questionable,Subscribers Only
Ben Jones,FA,C,Undisclosed,Questionable,Subscribers Only
Brandon Jones,MIA,S,Concussion,Questionable,Subscribers Only
Brett Jones,FA,C,Biceps,Questionable,Subscribers Only
Byron Jones,FA,CB,Achilles,Questionable,Subscribers Only
Chandler Jones,FA,DE,Personal,Questionable,Subscribers Only
Charlie Jones,CIN,WR,Thumb,IR-R,Subscribers Only
Chris Jones,FA,P,Abdomen,Questionable,Subscribers Only
Daniel Jones,NYG,QB,Knee - ACL,IR,Subscribers Only
DaQuan Jones,BUF,DT,Pectoral,IR,Subscribers Only
Dawand Jones,CLE,OT,Knee,Out,Subscribers Only
Devin Jones,FA,CB,Undisclosed,Questionable,Subscribers Only
Ernest Jones,LAR,LB,Knee,Questionable,Subscribers Only
Jonathan Jones,NE,CB,Knee,Questionable,Subscribers Only
Josh Jones,FA,S,Hamstring,Questionable,Subscribers Only
Marcus Jones,NE,CB,Shoulder,IR,Subscribers Only
Robert Jones,MIA,OG,Knee,Questionable,Subscribers Only
Velus Jones,CHI,WR,Coach's Decision,Inactive,Subscribers Only
Xavier Jones,FA,RB,Achilles,Questionable,Subscribers Only
Zay Jones,JAX,WR,Knee,Questionable,Subscribers Only
Brevin Jordan,HOU,TE,Foot,Questionable,Subscribers Only
Dion Jordan,FA,DE,Knee,Questionable,Subscribers Only
Karl Joseph,FA,S,Ankle,Questionable,Subscribers Only
Lamarcus Joyner,FA,S,Hip,Questionable,Subscribers Only
Matthew Judon,NE,LB,Biceps,IR,Subscribers Only
Gregory Junior,JAX,CB,Hamstring,IR-R,Subscribers Only
Cam Jurgens,PHI,OG,Foot,IR-R,Subscribers Only
Calijah Kancey,TB,DT,Quadriceps,Questionable,Subscribers Only
Matt Kaskey,FA,OT,Undisclosed,Questionable,Subscribers Only
Silas Kelly,FA,LB,Undisclosed,Questionable,Subscribers Only
Anthony Kendall,TEN,CB,Hamstring,Questionable,Subscribers Only
Brandon King,FA,LB,Hamstring,Questionable,Subscribers Only
