Player,Team,Pos,Injury,Status,Est. Return
X'Zauvea Gadlin,FA,OG,Undisclosed,Questionable,Subscribers Only
Tipa Galeai,FA,LB,Hamstring,Questionable,Subscribers Only
Michael Gallup,FA,WR,Undisclosed,Reserve-Ret,Subscribers Only
Connor Galvin,DET,OT,Knee - MCL,IR,Subscribers Only
Graham Gano,NYG,K,Hamstring,IR,Subscribers Only
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Mekhi Garner,FA,CB,Hamstring,Questionable,Subscribers Only
Myles Garrett,CLE,DE,Foot,Questionable,Subscribers Only
Izaiah Gathings,FA,TE,Hamstring,Questionable,Subscribers Only
DaRon Gilbert,FA,LB,Undisclosed,Questionable,Subscribers Only
Mark Gilbert,FA,CB,Undisclosed,Questionable,Subscribers Only
Cam Gill,FA,LB,Ankle,Questionable,Subscribers Only
Cullen Gillaspia,FA,LB,Knee,Questionable,Subscribers Only
Tyree Gillespie,FA,S,Undisclosed,Questionable,Subscribers Only
Tashaun Gipson,JAX,S,Suspension,Reserve-Sus,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Luke Goedeke,TB,OT,Concussion,Questionable,Subscribers Only
Ralen Goforth,GB,LB,Ankle,IR,Subscribers Only
Markus Golden,PIT,LB,Undisclosed,Reserve-Ret,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Cameron Goode,MIA,LB,Kneecap,PUP-R,Subscribers Only
Anthony Goodlow,FA,DE,Undisclosed,Questionable,Subscribers Only
Mario Goodrich,FA,CB,Hamstring,Questionable,Subscribers Only
Tylan Grable,BUF,OT,Abdomen,Out,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Jakeem Grant,FA,WR,Undisclosed,Questionable,Subscribers Only
Cedric Gray,TEN,LB,Shoulder,IR,Subscribers Only
Vincent Gray,FA,CB,Groin,Questionable,Subscribers Only
Antoine Green,DET,WR,Concussion,IR,Subscribers Only
Rasheem Green,FA,DE,Undisclosed,Questionable,Subscribers Only
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Ethan Greenidge,FA,OT,Undisclosed,Questionable,Subscribers Only
Dre Greenlaw,SF,LB,Achilles,PUP-R,Subscribers Only
Everson Griffen,FA,DE,Personal,Questionable,Subscribers Only
Jonas Griffith,FA,LB,Knee - ACL,Questionable,Subscribers Only
Trevon Grimes,FA,WR,Undisclosed,Questionable,Subscribers Only
Ryan Groy,FA,OG,Triceps,Questionable,Subscribers Only
Jeff Gunter,CIN,DE,Undisclosed,Reserve-Ret,Subscribers Only
Grant Haley,FA,CB,Knee - ACL,Questionable,Subscribers Only
Bryce Hall,TB,CB,Ankle,IR,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
