Player,Team,Pos,Injury,Status,Est. Return
Kamu Grugier-Hill,CAR,LB,Illness,Questionable,Subscribers Only
Javelin Guidry,NYJ,CB,Knee,IR,Subscribers Only
Sebastian Gutierrez,FA,OT,Undisclosed,Questionable,Subscribers Only
Jalen Guyton,LAC,WR,Knee - ACL,PUP-R,Subscribers Only
Troy Hairston,HOU,FB,Back,IR,Subscribers Only
Grant Haley,FA,CB,Knee - ACL,Questionable,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
Kemon Hall,FA,CB,Undisclosed,Questionable,Subscribers Only
Logan Hall,TB,DE,Groin,Questionable,Subscribers Only
Maalik Hall,NYJ,LB,Undisclosed,IR,Subscribers Only
Terez Hall,NE,LB,Undisclosed,IR,Subscribers Only
Antonio Hamilton,ARI,CB,Groin,Questionable,Subscribers Only
DaeSean Hamilton,FA,WR,Undisclosed,Questionable,Subscribers Only
DaVon Hamilton,JAX,DT,Back,IR-R,Subscribers Only
Devery Hamilton,FA,OT,Lower Leg,Questionable,Subscribers Only
Damar Hamlin,BUF,S,Coach's Decision,Inactive,Subscribers Only
Malik Hamm,BAL,LB,Ankle,IR,Subscribers Only
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Jake Hanson,FA,C,Shin,Questionable,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Justin Hardee,NYJ,CB,Hamstring,IR,Subscribers Only
Clark Harris,FA,C,Biceps,Questionable,Subscribers Only
Damien Harris,BUF,RB,Concussion,IR,Subscribers Only
Dwayne Harris,FA,WR,Triceps,Questionable,Subscribers Only
Keilahn Harris,FA,WR,Undisclosed,Out,Subscribers Only
Penny Hart,FA,WR,Concussion,Questionable,Subscribers Only
Montre Hartage,FA,S,Undisclosed,Questionable,Subscribers Only
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,Subscribers Only
Hassan Haskins,TEN,RB,Undisclosed,IR,Subscribers Only
J.C. Hassenauer,NYG,C,Triceps,IR,Subscribers Only
Broughton Hatcher,FA,C,Undisclosed,Questionable,Subscribers Only
Rob Havenstein,LAR,OT,Calf,Questionable,Subscribers Only
Jerald Hawkins,FA,OT,Undisclosed,Questionable,Subscribers Only
Daelin Hayes,FA,LB,Undisclosed,Questionable,Subscribers Only
Marquis Haynes,CAR,LB,Back,IR,Subscribers Only
Phil Haynes,SEA,OG,Calf,Questionable,Subscribers Only
Joel Heath,FA,DE,Knee - ACL,Questionable,Subscribers Only
Charlie Heck,HOU,OT,Foot,PUP-R,Subscribers Only
Matt Hembrough,ARI,C,Back,IR,Subscribers Only
Peyton Hendershot,DAL,TE,Ankle,IR,Subscribers Only
Xavier Henderson,FA,S,Undisclosed,Questionable,Subscribers Only
Matt Hennessy,ATL,OG,Knee,IR,Subscribers Only
Hunter Henry,NE,TE,Ankle,Questionable,Subscribers Only
Ra'Shaun Henry,FA,WR,Undisclosed,Questionable,Subscribers Only
Khalil Herbert,CHI,RB,Ankle,IR,Subscribers Only
Chandon Herring,FA,OG,Undisclosed,Questionable,Subscribers Only
Parker Hesse,FA,TE,Undisclosed,Out,Subscribers Only
Cameron Heyward,PIT,DE,Groin,IR-R,Subscribers Only
Taysom Hill,NO,QB,Chest,Questionable,Subscribers Only
Tyreek Hill,MIA,WR,Hip,Questionable,Subscribers Only
Dontrell Hilliard,FA,RB,Neck,Questionable,Subscribers Only
Nyheim Hines,BUF,RB,Knee,NFI-R,Subscribers Only
Nate Hobbs,LV,CB,Ankle,Questionable,Subscribers Only
T.J. Hockenson,MIN,TE,Foot,Questionable,Subscribers Only
Cooper Hodges,JAX,OT,Knee,IR,Subscribers Only
Will Holden,FA,OT,Calf,Questionable,Subscribers Only
Jevon Holland,MIA,S,Concussion,Questionable,Subscribers Only
Cody Hollister,FA,WR,Neck,Questionable,Subscribers Only
Jacob Hollister,FA,TE,Undisclosed,Questionable,Subscribers Only
Hendon Hooker,DET,QB,Knee - ACL,NFI-R,Subscribers Only
Jaycee Horn,CAR,CB,Hamstring,IR,Subscribers Only
James Houston,DET,LB,Ankle,IR,Subscribers Only
Tytus Howard,HOU,OG,Knee,Questionable,Subscribers Only
Xavien Howard,MIA,CB,Groin,Questionable,Subscribers Only
Hayden Howerton,FA,OG,Undisclosed,Out,Subscribers Only
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,Subscribers Only
Rodney Hudson,FA,C,Knee,Questionable,Subscribers Only
Evan Hull,IND,RB,Knee,IR,Subscribers Only
Kareem Hunt,CLE,RB,Thigh,Questionable,Subscribers Only
Caleb Huntley,FA,RB,Achilles,Questionable,Subscribers Only
Jalen Hurd,FA,WR,Undisclosed,Reserve-Ret,Subscribers Only
Allen Hurns,FA,WR,Wrist,Questionable,Subscribers Only
James Hurst,NO,OT,Ankle,Questionable,Subscribers Only
John Hurst,FA,WR,Ankle,Questionable,Subscribers Only
Ishmael Hyman,FA,WR,Undisclosed,Questionable,Subscribers Only
Mohamed Ibrahim,FA,RB,Hip,Out,Subscribers Only
Germain Ifedi,BUF,OG,Coach's Decision,Inactive,Subscribers Only
George Iloka,FA,S,Knee - ACL,Questionable,Subscribers Only
Alec Ingold,MIA,FB,Foot,Questionable,Subscribers Only
Mark Ingram,FA,RB,Knee - MCL,Questionable,Subscribers Only
Matt Ioannidis,FA,DT,Back,Questionable,Subscribers Only
Isaiah Irving,FA,LB,Back,Questionable,Subscribers Only
Thomas Ives,FA,WR,Undisclosed,Questionable,Subscribers Only
Myles Jack,PHI,LB,Personal,Reserve-Ret,Subscribers Only
Adoree' Jackson,NYG,CB,Neck,Questionable,Subscribers Only
Branden Jackson,FA,DE,Spine,Questionable,Subscribers Only
Eddie Jackson,CHI,S,Foot,Questionable,Subscribers Only
Jonah Jackson,DET,OG,Ankle,Questionable,Subscribers Only
Kareem Jackson,DEN,S,Suspension,Reserve-Sus,Subscribers Only
