Player,Team,Pos,Injury,Status
Clark Harris,FA,C,Biceps,Questionable
Damien Harris,BUF,RB,Concussion,IR
Dwayne Harris,FA,WR,Triceps,Questionable
Keilahn Harris,FA,WR,Undisclosed,Out
Penny Hart,FA,WR,Concussion,Questionable
Montre Hartage,FA,S,Undisclosed,Questionable
Kolby Harvell-Peel,FA,S,Hamstring,Questionable
Hassan Haskins,TEN,RB,Undisclosed,IR
J.C. Hassenauer,NYG,C,Triceps,IR
Broughton Hatcher,FA,C,Undisclosed,Questionable
Jerald Hawkins,FA,OT,Undisclosed,Questionable
Daelin Hayes,FA,LB,Undisclosed,Questionable
Marquis Haynes,CAR,LB,Back,IR
Phil Haynes,SEA,OG,Calf,Questionable
Joel Heath,FA,DE,Knee - ACL,Questionable
Charlie Heck,HOU,OT,Foot,PUP-R
Matt Hembrough,ARI,C,Back,IR
Peyton Hendershot,DAL,TE,Ankle,IR
Xavier Henderson,FA,S,Undisclosed,Questionable
Matt Hennessy,ATL,OG,Knee,IR
Ra'Shaun Henry,FA,WR,Undisclosed,Questionable
Khalil Herbert,CHI,RB,Ankle,IR
Chandon Herring,FA,OG,Undisclosed,Questionable
Parker Hesse,FA,TE,Undisclosed,Out
Cameron Heyward,PIT,DE,Groin,IR
Dontrell Hilliard,FA,RB,Neck,Questionable
Nyheim Hines,BUF,RB,Knee,NFI-R
Nate Hobbs,LV,CB,Ankle,Questionable
Cooper Hodges,JAX,OT,Knee,IR
Will Holden,FA,OT,Calf,Questionable
Cody Hollister,FA,WR,Neck,Questionable
Jacob Hollister,FA,TE,Undisclosed,Questionable
Hendon Hooker,DET,QB,Knee - ACL,NFI-R
Jaycee Horn,CAR,CB,Hamstring,IR
James Houston,DET,LB,Ankle,IR
Xavien Howard,MIA,CB,Groin,Questionable
Hayden Howerton,FA,OG,Undisclosed,Out
Jonathan Hubbard,FA,OT,Undisclosed,Questionable
Rodney Hudson,FA,C,Knee,Questionable
Evan Hull,IND,RB,Knee,IR
Caleb Huntley,FA,RB,Achilles,Questionable
Jalen Hurd,FA,WR,Undisclosed,Reserve-Ret
