Player,Team,Pos,Injury,Status
Baker Mayfield,30,QB,Hand,Questionable
Anthony Nelson,30,LB,Concussion,Questionable
Mike Brown,31,S,Undisclosed,IR
Shakel Brown,31,DT,Ankle,IR
Treylon Burks,31,WR,Knee,Questionable
Julius Chestnut,31,RB,Hamstring,IR
Caleb Farley,31,CB,Back,PUP-R
Luke Gifford,31,LB,Hamstring,Questionable
Hassan Haskins,31,RB,Undisclosed,IR
Kearis Jackson,31,WR,Ankle,IR
Elijah Molden,31,S,Hamstring,Questionable
Chris Moore,31,WR,Concussion,Questionable
Ryan Tannehill,31,QB,Ankle,Questionable
Teair Tart,31,DT,Toe,Questionable
Josh Whyle,31,TE,Concussion,Questionable
Troy Apke,32,CB,Shoulder,IR
David Bada,32,DT,Triceps,IR
Curtis Brooks,32,DT,Undisclosed,IR
Braeden Daniels,32,OT,Shoulder,IR
Brandon Dillon,32,TE,Undisclosed,IR
Darrick Forrest,32,S,Shoulder,IR
Christian Holmes,32,CB,Hamstring,Questionable
Charles Leno,32,OT,Personal,Questionable
Phidarian Mathis,32,DT,Calf,IR
Dax Milne,32,WR,Groin,IR
Jeremy Reaves,32,S,Knee - ACL,IR
Armani Rogers,32,TE,Achilles,IR
Kaden Smith,32,TE,Undisclosed,IR
Montez Sweat,32,DE,Thumb,Questionable
Shaka Toney,32,DE,Suspension,Reserve-Sus
Drew White,32,LB,Knee,PUP-R
