Player,Team,Pos,Injury,Status
Jordan Swann,FA,CB,Undisclosed,Questionable
Donte Sylencieux,FA,WR,Undisclosed,Questionable
Jonah Tavai,FA,DT,Undisclosed,Questionable
Calvin Taylor,FA,DE,Undisclosed,Questionable
Demetrius Taylor,FA,DT,Suspension,Reserve-Sus
Vincent Taylor,FA,DT,Achilles,Questionable
Isaac Taylor-Stuart,FA,CB,Undisclosed,Out
Marvell Tell,FA,CB,Undisclosed,Questionable
Sam Tevi,FA,OT,Knee - ACL,Questionable
Isaiah Thomas,FA,DE,Knee,Doubtful
Mike Thomas,FA,WR,Shoulder - Labrum,Questionable
Stantley Thomas-Oliver,FA,CB,Hamstring,Questionable
DeAndre Thompkins,FA,WR,Undisclosed,Questionable
Chris Thompson,FA,WR,Undisclosed,Questionable
Josh Thompson,FA,S,Undisclosed,Questionable
Levine Toilolo,FA,TE,Achilles,Questionable
Rashad Torrence,FA,S,Knee,Questionable
Jacob Tuioti-Mariner,FA,LB,Knee,Questionable
DJ Turner,FA,WR,Undisclosed,Questionable
Michael Tutsie,FA,S,Undisclosed,Questionable
John Ursua,FA,WR,Knee - ACL,Questionable
Olivier Vernon,FA,DE,Achilles,Questionable
Michael Walker,FA,WR,Undisclosed,Questionable
Keith Washington,FA,CB,Wrist,Questionable
Armani Watts,FA,S,Ankle,Questionable
Sterling Weatherford,FA,LB,Undisclosed,Questionable
Stephen Weatherly,FA,DE,Knee,Questionable
Marcus Webb,FA,DE,Undisclosed,Questionable
Ken Webster,FA,CB,Undisclosed,Questionable
Josh Wells,FA,OT,Hip,Questionable
Barry Wesley,FA,OT,Undisclosed,Out
Isaiah Weston,FA,WR,Undisclosed,Reserve-Ret
Cody White,FA,WR,Undisclosed,Questionable
DeAndrew White,FA,WR,Undisclosed,Questionable
Javin White,FA,LB,Knee - ACL,Questionable
Kedrick Whitehead,FA,S,Undisclosed,Questionable
Chad Williams,FA,WR,Undisclosed,Questionable
Duke Williams,FA,WR,Hamstring,Questionable
Jarren Williams,FA,CB,Lower Body,Questionable
Jonathan Williams,FA,RB,Undisclosed,Questionable
Tyrell Williams,FA,WR,Concussion,Questionable
Chris Williamson,FA,CB,Undisclosed,Questionable
Marcus Willoughby,FA,DE,Undisclosed,Questionable
Damien Wilson,FA,LB,Undisclosed,Reserve-Sus
Tavon Wilson,FA,S,Foot,Questionable
Anthony Witherstone,FA,CB,Toe,Questionable
Milton Wright,FA,WR,Undisclosed,Questionable
Tavon Young,FA,CB,Undisclosed,Questionable
Justin Zimmer,FA,DT,Undisclosed,Questionable
Isaiah Zuber,FA,WR,Undisclosed,Questionable
Zayne Anderson,GB,S,Hamstring,Questionable
David Bakhtiari,GB,OT,Knee,IR
De'Vondre Campbell,GB,LB,Ankle,Questionable
Tyler Davis,GB,TE,Knee,IR
Aaron Jones,GB,RB,Hamstring,Questionable
Darnell Savage,GB,S,Calf,Questionable
Eric Stokes,GB,CB,Foot,PUP-R
Luke Tenuta,GB,OT,Ankle,IR
Quay Walker,GB,LB,Knee,Questionable
Tank Dell,HOU,WR,Concussion,Questionable
Kendrick Green,HOU,OG,Knee - Meniscus,IR
Kenyon Green,HOU,OG,Shoulder - Labrum,IR
Troy Hairston,HOU,FB,Back,IR
Charlie Heck,HOU,OT,Foot,PUP-R
Jesse Matthews,HOU,WR,Knee - ACL,IR
Eric Murray,HOU,S,Knee,Questionable
Scott Quessenberry,HOU,C,Knee - ACL + MCL,IR
Hassan Ridgeway,HOU,DT,Calf,IR
DJ Scaife,HOU,OT,Leg,IR
Juice Scruggs,HOU,C,Hamstring,IR
Derek Stingley,HOU,CB,Hamstring,IR
Kilian Zierer,HOU,OT,Ankle,IR
Genard Avery,IND,DE,Knee - Meniscus,IR
Ashton Dulin,IND,WR,Knee - ACL,IR
Dallis Flowers,IND,CB,Achilles,IR
Evan Hull,IND,RB,Knee,IR
Titus Leo,IND,DE,Undisclosed,IR
Alec Pierce,IND,WR,Shoulder,Questionable
Danny Pinter,IND,C,Ankle,IR
Anthony Richardson,IND,QB,Shoulder - AC Joint,IR
Daniel Scott,IND,S,Knee - ACL,IR
Braden Smith,IND,OT,Foot,Questionable
