season,gametypeid,week,date,time,network,awayteam,hometeam
2019,2,16,12/22/19,1:00 PM,CBS,Ravens,Browns
2019,2,16,12/22/19,1:00 PM,FOX,Panthers,Colts
2019,2,16,12/22/19,1:00 PM,CBS,Bengals,Dolphins
2019,2,16,12/22/19,4:25 PM,FOX,Cardinals,Seahawks
2019,2,16,12/22/19,4:25 PM,FOX,Cowboys,Eagles
2019,2,16,12/22/19,8:20 PM,NBC,Chiefs,Bears
2019,2,16,12/23/19,8:15 PM,ESPN,Packers,Vikings
2019,2,17,12/29/19,1:00 PM,CBS,Steelers,Ravens
2019,2,17,12/29/19,1:00 PM,CBS,Jets,Bills
2019,2,17,12/29/19,1:00 PM,FOX,Falcons,Buccaneers
2019,2,17,12/29/19,1:00 PM,FOX,Eagles,Giants
2019,2,17,12/29/19,1:00 PM,FOX,Saints,Panthers
2019,2,17,12/29/19,1:00 PM,CBS,Browns,Bengals
2019,2,17,12/29/19,1:00 PM,FOX,Redskins,Cowboys
2019,2,17,12/29/19,1:00 PM,FOX,Packers,Lions
2019,2,17,12/29/19,1:00 PM,CBS,Titans,Texans
2019,2,17,12/29/19,1:00 PM,CBS,Colts,Jaguars
2019,2,17,12/29/19,1:00 PM,CBS,Chargers,Chiefs
2019,2,17,12/29/19,1:00 PM,FOX,Bears,Vikings
2019,2,17,12/29/19,1:00 PM,CBS,Dolphins,Patriots
2019,2,17,12/29/19,4:25 PM,CBS,Raiders,Broncos
2019,2,17,12/29/19,4:25 PM,FOX,Cardinals,Rams
2019,2,17,12/29/19,4:25 PM,FOX,49ers,Seahawks
2019,3,18,1/4/20,4:00 PM,Default,AFC WildCard 2,AFC Card 
2019,3,18,1/5/20,8:00 PM,Default,NFC WildCard 2,NFC Card 
2019,3,18,1/5/20,4:00 PM,Default,AFC WildCard 4,AFC Card 3
2019,3,18,1/5/20,8:00 PM,Default,NFC WildCard 4,NFC Card 3
2019,3,19,1/11/20,4:00 PM,Default,AFC Division C, Divis
2019,3,19,1/11/20,8:00 PM,Default,NFC Division C, Divis
2019,3,19,1/12/20,4:00 PM,Default,AFC Division 4,AFC sion 3
2019,3,19,1/12/20,8:00 PM,Default,NFC Division 4,NFC sion 3
2019,3,20,1/19/20,3:05 PM,CBS,AFC Champ 2,AFC Champ 1
2019,3,20,1/19/20,6:40 PM,FOX,NFC Champ 2,NFC Champ 1
2019,3,21,2/2/20,6:30 PM,FOX,AFC Champ,NFC Champ
