season,gametypeid,week,date,awayteam,hometeam,network,time
2022,2,18,1/8/2023,Chargers,Broncos,CBS,1:00 PM
2022,2,18,1/8/2023,Lions,Packers,CBS,1:00 PM
2022,2,18,1/8/2023,Titans,Jaguars,CBS,1:00 PM
2022,2,18,1/8/2023,Jets,Dolphins,FOX,1:00 PM
2022,2,18,1/8/2023,Panthers,Saints,FOX,1:00 PM
2022,2,18,1/8/2023,Giants,Eagles,FOX,1:00 PM
2022,2,18,1/8/2023,Browns,Steelers,FOX,1:00 PM
2022,2,18,1/8/2023,Chiefs,Raiders,FOX,1:00 PM
2022,2,18,1/8/2023,Rams,Seahawks,CBS,1:00 PM
2022,2,18,1/8/2023,Cardinals,49ers,NBC,1:00 PM
2022,2,18,1/8/2023,Cowboys,Commanders,ESPN,1:00 PM
2022,3,19,1/14/2023,AFC WildCard 2,AFC Card 1,CBS,4:30 PM
2022,3,19,1/14/2023,NFC WildCard 2,NFC Card 2,CBS,8:15 PM
2022,3,19,1/15/2023,AFC WildCard 4,AFC Card 3,CBS,1:00 PM
2022,3,19,1/15/2023,AFC WildCard 2,AFC Card 4,CBS,4:30 PM
2022,3,19,1/15/2023,NFC WildCard 2,NFC Card 5,NBC,8:15 PM
2022,3,19,1/16/2023,AFC WildCard 4,AFC Card 6,ESPN,8:00 PM
2022,3,20,1/22/2023,AFC Division C,Divis 1,CBS,2:00 PM
2022,3,20,1/22/2023,NFC Division C,Divis 2,CBS,4:00 PM
2022,3,20,1/22/2023,AFC Division 4,AFC Divis 3,CBS,6:00 PM
2022,3,20,1/22/2023,NFC Division 4,NFC Divis 4,CBS,9:00 PM
2022,3,21,1/29/2023,AFC Champ 2,AFC Champ 1,FOX,3:05 PM
2022,3,21,1/29/2023,NFC Champ 2,NFC Champ 2,CBS,6:40 PM
2021,3,22,2/12/2022,AFC Champ,NFC Champ,FOX,6:30 PM
