Player,Team,Pos,Injury,Status
Alexander Mattison,1,RB,Neck,IR
Cody Mauch,28,OG,Knee,IR
J.J. McCarthy,21,QB,Ankle,Questionable
Erik McCoy,27,C,Biceps,IR
Marcelino McCrary-Ball,2,LB,Hamstring,IR
Micah McFadden,20,LB,Foot,IR
Kaleb McGary,26,OT,Leg,IR
Kenny McIntosh,29,RB,Knee - ACL,IR
Terry McLaurin,18,WR,Quadriceps,Questionable
Jalen McLeod,11,LB,Lower Body,IR-R
Brandon McManus,24,K,Quadriceps,Questionable
Jalen McMillan,28,WR,Neck,IR-R
Bub Means,27,WR,Lower Leg,IR
Andrew Meyer,1,C,Undisclosed,IR-R
Jakobi Meyers,15,WR,Knee,Questionable
Matt Milano,3,LB,Pectoral,Questionable
Kendre Miller,27,RB,Knee - ACL,IR
Kolton Miller,15,OT,Ankle,IR
Rylie Mills,29,DT,Knee - ACL,NFI-R
Joe Mixon,10,RB,Foot,NFI-R
Elijah Molden,14,S,Thumb,Questionable
D.J. Montgomery,12,WR,Undisclosed,IR
David Moore,25,WR,Elbow,IR
Rondale Moore,21,WR,Knee,IR
T.J. Moore,20,CB,Upper Leg,IR
Quintin Morris,11,TE,Groin,Questionable
Kalel Mullings,9,RB,Ankle,IR
Sean Murphy-Bunting,31,CB,Knee,NFI-R
Eric Murray,11,S,Neck,Questionable
Kyler Murray,31,QB,Foot,Questionable
Malik Nabers,20,WR,Knee - ACL,IR
Puka Nacua,32,WR,Ankle,Questionable
Matt Nelson,21,OT,Undisclosed,IR
Lucas Niang,18,OT,Knee - ACL,IR
David Njoku,7,TE,Knee,Questionable
Walter Nolen,31,DT,Calf,PUP-R
Omarr Norman-Lott,16,DT,Knee - ACL,IR
Storm Norton,26,OT,Ankle,IR-R
Kene Nwangwu,2,RB,Concussion,Questionable
Aidan O'Connell,15,QB,Wrist,IR
Brian O'Neill,21,OT,Knee,Questionable
Amen Ogbongbemiga,23,LB,Knee,IR-R
Otito Ogbonnia,14,DT,Elbow,IR
Moro Ojomo,17,DT,Head,Questionable
Azeez Ojulari,17,LB,Hamstring,Questionable
BJ Ojulari,31,DE,Knee - ACL,PUP-R
Ogbo Okoronkwo,17,LB,Triceps,IR
Oluwafemi Oladejo,9,LB,Leg,IR
Jordan Oladokun,14,CB,Undisclosed,IR
Bryce Oliver,9,WR,Knee,Questionable
Collin Oliver,24,DE,Hamstring,PUP-R
Levi Onwuzurike,22,DT,Knee - ACL,PUP-R
Anfernee Orji,9,LB,Knee - ACL,IR
Justin Osborne,7,C,Undisclosed,IR
Robbie Ouzts,29,FB,Ankle,IR
DeMarvion Overshown,19,LB,Knee - ACL + MCL,PUP-R
