Player,Team,Pos,Injury,Status
Josh Reynolds,2,WR,Hip,IR
Sean Rhyan,24,C,Knee,Questionable
Rashee Rice,16,WR,Concussion,Questionable
Asim Richards,27,OT,Ankle,Questionable
Anthony Richardson,12,QB,Orbital,IR-R
Calvin Ridley,9,WR,Lower Leg,IR
Jordon Riley,24,DT,Ankle,Questionable
J.J. Roberts,28,S,Knee,IR
Sam Roberts,26,DT,Knee,IR
Amik Robertson,22,CB,Hand,Questionable
Kye Robichaux,22,RB,Undisclosed,IR
Jakob Robinson,30,CB,Forearm,IR
Janarius Robinson,16,DE,Foot,IR
Robert Rochell,25,CB,Ankle,Questionable
Caleb Rogers,15,OG,Quadriceps,Questionable
Eric Rogers,14,CB,Undisclosed,IR
Christian Roland-Wallace,16,CB,Back,IR
Kurtis Rourke,30,QB,Knee,NFI-R
Jaquelin Roy,4,DT,Undisclosed,IR
Cesar Ruiz,27,OG,Ankle,Questionable
Jon Runyan,20,OG,Personal,Questionable
J.J. Russell,31,LB,Concussion,IR
Nick Saldiveri,27,OG,Knee,IR
Jamaree Salyer,14,OG,Hamstring,Questionable
Dylan Sampson,7,RB,Hand,Questionable
Curtis Samuel,3,WR,Elbow,IR
Jack Sanborn,19,LB,Groin,IR
Drew Sanders,13,LB,Foot,IR-R
Jason Sanders,1,K,Hip,IR-R
Miles Sanders,19,RB,Knee,IR
Max Scharping,6,OG,Knee,IR
John Michael Schmitz,20,C,Hand,Questionable
Dalton Schultz,10,TE,Knee,Questionable
Wes Schweitzer,4,C,Undisclosed,Reserve-Ret
Daniel Scott,12,S,Knee,IR-R
Eric Scott,16,CB,Undisclosed,IR
Valentin Senn,31,OT,Undisclosed,IR
Tim Settle,10,DT,Foot,IR
Isaac Seumalo,6,OG,Triceps,Questionable
Spencer Shrader,12,K,Knee - ACL + MCL,IR
Josh Simmons,16,OT,Wrist,IR
Cam Skattebo,20,RB,Ankle,IR
Jacob Slade,6,DT,Undisclosed,IR
Rashawn Slater,14,OT,Kneecap,IR
Darius Slay,3,CB,Personal,Reserve-DNR
Braden Smith,12,OT,Concussion,IR
Elerson Smith,7,DE,Undisclosed,Reserve-Ret
Jaden Smith,28,WR,Undisclosed,IR
Jaylin Smith,10,CB,Undisclosed,IR
Terell Smith,23,CB,Knee,IR
Za'Darius Smith,17,DE,Undisclosed,Reserve-Ret
L'Jarius Sneed,9,CB,Quadriceps,IR
Colby Sorsdal,22,OT,Leg,IR
Robert Spillane,4,LB,Ankle,Questionable
Amon-Ra St. Brown,22,WR,Knee,Questionable
M.J. Stewart,10,S,Quadriceps,IR
Derek Stingley,10,CB,Oblique,Questionable
Danny Striggow,11,DE,Ankle,Questionable
Dorian Strong,3,CB,Neck,IR
Chazz Surratt,29,LB,Ankle,IR
Josh Sweat,31,LB,Ankle,Questionable
Teair Tart,14,DT,Groin,Questionable
Darrell Taylor,10,DE,Ankle,IR-R
Jawaan Taylor,16,OT,Elbow,IR
Mason Taylor,2,TE,Neck,Questionable
Patrick Taylor,30,RB,Shoulder,IR
Trent Taylor,30,WR,Undisclosed,IR
Cam Taylor-Britt,5,CB,Foot,IR
Wyatt Teller,7,OG,Calf,Questionable
Kayvon Thibodeaux,20,LB,Shoulder,IR
Andrew Thomas,20,OT,Hamstring,Questionable
Azareye'h Thomas,2,CB,Shoulder,IR
Juanyeh Thomas,19,S,Migraine,NFI-R
Keir Thomas,32,LB,Undisclosed,IR
Starling Thomas,31,CB,Knee - ACL,IR
Jalen Thompson,31,S,Hamstring,Questionable
Shaq Thompson,3,LB,Neck,Questionable
Skylar Thompson,6,QB,Hamstring,IR
Corey Thornton,25,CB,Lower Leg,IR
Tyquan Thornton,16,WR,Concussion,Questionable
Zach Tom,24,OT,Back,Questionable
Tre Tomlinson,30,CB,Undisclosed,IR
Khyiris Tonga,4,DT,Foot,Doubtful
Jordan Travis,2,QB,Lower Leg,Reserve-Ret
Bralen Trice,26,LB,Knee,IR
Cory Trice,6,CB,Knee,IR
Dalton Tucker,12,OG,Shoulder,Questionable
Jay Tufele,2,DT,Foot,Questionable
JT Tuimoloau,12,DE,Oblique,Questionable
Laremy Tunsil,18,OT,Oblique,Questionable
DJ Turner,5,CB,Illness,Questionable
Ezekiel Turner,22,LB,Foot,IR
Payton Turner,19,DE,Ribs,IR-R
Shemar Turner,23,DT,Knee - ACL,IR
KaVontae Turpin,19,WR,Shoulder,Questionable
Bhayshul Tuten,11,RB,Finger,Questionable
Lukas Van Ness,24,DE,Foot,Questionable
Ben VanSumeren,17,FB,Knee,IR
Devaughn Vele,27,WR,Shoulder,IR
Alijah Vera-Tucker,2,OG,Triceps,IR
Malik Verdon,26,S,Shoulder,NFI-R
Kimani Vidal,14,RB,Neck,Questionable
Travis Vokolek,31,TE,Neck,IR
Cordell Volson,5,OG,Shoulder,IR
Andrew Vorhees,8,OG,Foot,Questionable
Dayton Wade,8,WR,Ribs,IR
David Walker,28,LB,Knee,IR
