season,gametypeid,week,day,date,awayteam,hometeam,network  ,time
2022,2,6,Sun,10/16/2022,Buccaneers,Steelers,,1:00 PM
2022,2,6,Sun,10/16/2022,Panthers,Rams,,4:05 PM
2022,2,6,Sun,10/16/2022,Cardinals,Seahawks,,4:05 PM
2022,2,6,Sun,10/16/2022,Bills,Chiefs,,4:25 PM
2022,2,6,Sun,10/16/2022,Cowboys,Eagles,,8:20 PM
2022,2,6,Mon,10/17/2022,Broncos,Chargers,,8:15 PM
2022,2,7,Thu,10/20/2022,Saints,Cardinals,,8:15 PM
2022,2,7,Sun,10/23/2022,Buccaneers,Panthers,,1:00 PM
2022,2,7,Sun,10/23/2022,Falcons,Bengals,,1:00 PM
2022,2,7,Sun,10/23/2022,Lions,Cowboys,,1:00 PM
2022,2,7,Sun,10/23/2022,Giants,Jaguars,,1:00 PM
2022,2,7,Sun,10/23/2022,Colts,Titans,,1:00 PM
2022,2,7,Sun,10/23/2022,Browns,Ravens,,1:00 PM
2022,2,7,Sun,10/23/2022,Packers,Commanders,,1:00 PM
2022,2,7,Sun,10/23/2022,Jets,Broncos,,4:05 PM
2022,2,7,Sun,10/23/2022,Texans,Raiders,,4:05 PM
2022,2,7,Sun,10/23/2022,Seahawks,Chargers,,4:25 PM
2022,2,7,Sun,10/23/2022,Chiefs,49ers,,4:25 PM
2022,2,7,Sun,10/23/2022,Steelers,Dolphins,,8:20 PM
2022,2,7,Mon,10/24/2022,Bears,Patriots,,8:15 PM
2022,2,8,Thu,10/27/2022,Ravens,Buccaneers,,8:15 PM
2022,2,8,Sun,10/30/2022,Broncos,Jaguars,,9:30 AM
2022,2,8,Sun,10/30/2022,Panthers,Falcons,,1:00 PM
2022,2,8,Sun,10/30/2022,Bears,Cowboys,,1:00 PM
2022,2,8,Sun,10/30/2022,Dolphins,Lions,,1:00 PM
2022,2,8,Sun,10/30/2022,Cardinals,Vikings,,1:00 PM
2022,2,8,Sun,10/30/2022,Raiders,Saints,,1:00 PM
2022,2,8,Sun,10/30/2022,Patriots,Jets,,1:00 PM
2022,2,8,Sun,10/30/2022,Steelers,Eagles,,1:00 PM
2022,2,8,Sun,10/30/2022,Titans,Texans,,4:05 PM
2022,2,8,Sun,10/30/2022,Commanders,Colts,,4:25 PM
2022,2,8,Sun,10/30/2022,49ers,Rams,,4:25 PM
2022,2,8,Sun,10/30/2022,Giants,Seahawks,,4:25 PM
2022,2,8,Sun,10/30/2022,Packers,Bills,,8:20 PM
2022,2,8,Mon,10/31/2022,Bengals,Browns,,8:15 PM
2022,2,9,Thu,11/3/2022,Eagles,Texans,,8:15 PM
2022,2,9,Sun,11/6/2022,Chargers,Falcons,,1:00 PM
2022,2,9,Sun,11/6/2022,Dolphins,Bears,,1:00 PM
2022,2,9,Sun,11/6/2022,Panthers,Bengals,,1:00 PM
2022,2,9,Sun,11/6/2022,Packers,Lions,,1:00 PM
2022,2,9,Sun,11/6/2022,Raiders,Jaguars,,1:00 PM
2022,2,9,Sun,11/6/2022,Colts,Patriots,,1:00 PM
2022,2,9,Sun,11/6/2022,Bills,Jets,,1:00 PM
2022,2,9,Sun,11/6/2022,Vikings,Commanders,,1:00 PM
2022,2,9,Sun,11/6/2022,Seahawks,Cardinals,,4:05 PM
2022,2,9,Sun,11/6/2022,Rams,Buccaneers,,4:25 PM
2022,2,9,Sun,11/6/2022,Titans,Chiefs,,8:20 PM
2022,2,9,Mon,11/7/2022,Ravens,Saints,,8:15 PM
2022,2,10,Thu,11/10/2022,Falcons,Panthers,,8:15 PM
2022,2,10,Sun,11/13/2022,Seahawks,Buccaneers,,9:30 AM
2022,2,10,Sun,11/13/2022,Vikings,Bills,,1:00 PM
2022,2,10,Sun,11/13/2022,Lions,Bears,,1:00 PM
2022,2,10,Sun,11/13/2022,Jaguars,Chiefs,,1:00 PM
2022,2,10,Sun,11/13/2022,Browns,Dolphins,,1:00 PM
2022,2,10,Sun,11/13/2022,Texans,Giants,,1:00 PM
2022,2,10,Sun,11/13/2022,Broncos,Titans,,1:00 PM
2022,2,10,Sun,11/13/2022,Saints,Steelers,,1:00 PM
2022,2,10,Sun,11/13/2022,Colts,Raiders,,4:05 PM
2022,2,10,Sun,11/13/2022,Cowboys,Packers,,4:25 PM
2022,2,10,Sun,11/13/2022,Cardinals,Rams,,4:25 PM
2022,2,10,Sun,11/13/2022,Chargers,49ers,,8:20 PM
2022,2,10,Mon,11/14/2022,Commanders,Eagles,,8:15 PM
2022,2,11,Thu,11/17/2022,Titans,Packers,,8:15 PM
2022,2,11,Sun,11/20/2022,Bears,Falcons,,1:00 PM
2022,2,11,Sun,11/20/2022,Browns,Bills,,1:00 PM
2022,2,11,Sun,11/20/2022,Eagles,Colts,,1:00 PM
2022,2,11,Sun,11/20/2022,Commanders,Texans,,1:00 PM
2022,2,11,Sun,11/20/2022,Rams,Saints,,1:00 PM
2022,2,11,Sun,11/20/2022,Jets,Patriots,,1:00 PM
2022,2,11,Sun,11/20/2022,Lions,Giants,,1:00 PM
2022,2,11,Sun,11/20/2022,Panthers,Ravens,,1:00 PM
2022,2,11,Sun,11/20/2022,Raiders,Broncos,,4:05 PM
2022,2,11,Sun,11/20/2022,Cowboys,Vikings,,4:25 PM
2022,2,11,Sun,11/20/2022,Chiefs,Chargers,,4:25 PM
2022,2,11,Sun,11/20/2022,Bengals,Steelers,,8:20 PM
2022,2,11,Mon,11/21/2022,49ers,Cardinals,,8:15 PM
2022,2,12,Thu,11/24/2022,Bills,Lions,,12:30 PM
2022,2,12,Thu,11/24/2022,Giants,Cowboys,,4:30 PM
2022,2,12,Thu,11/24/2022,Patriots,Vikings,,8:20 PM
2022,2,12,Sun,11/27/2022,Broncos,Panthers,,1:00 PM
2022,2,12,Sun,11/27/2022,Buccaneers,Browns,,1:00 PM
2022,2,12,Sun,11/27/2022,Ravens,Jaguars,,1:00 PM
2022,2,12,Sun,11/27/2022,Texans,Dolphins,,1:00 PM
2022,2,12,Sun,11/27/2022,Bears,Jets,,1:00 PM
2022,2,12,Sun,11/27/2022,Bengals,Titans,,1:00 PM
2022,2,12,Sun,11/27/2022,Falcons,Commanders,,1:00 PM
2022,2,12,Sun,11/27/2022,Chargers,Cardinals,,4:05 PM
2022,2,12,Sun,11/27/2022,Raiders,Seahawks,,4:05 PM
2022,2,12,Sun,11/27/2022,Rams,Chiefs,,4:25 PM
2022,2,12,Sun,11/27/2022,Saints,49ers,,4:25 PM
2022,2,12,Sun,11/27/2022,Packers,Eagles,,8:20 PM
2022,2,12,Mon,11/28/2022,Steelers,Colts,,8:15 PM
2022,2,13,Thu,12/1/2022,Bills,Patriots,,8:15 PM
2022,2,13,Sun,12/4/2022,Steelers,Falcons,,1:00 PM
2022,2,13,Sun,12/4/2022,Packers,Bears,,1:00 PM
2022,2,13,Sun,12/4/2022,Jaguars,Lions,,1:00 PM
2022,2,13,Sun,12/4/2022,Browns,Texans,,1:00 PM
