season,gametypeid,week,date,awayteam,hometeam,network,time
2024,2,11,11/17/2024,Colts,Jets,NBC,8:20 PM
2024,2,11,11/18/2024,Texans,Cowboys,ESPN,8:15 PM
2024,2,12,11/21/2024,Steelers,Browns,Amazon,8:15 PM
2024,2,12,11/24/2024,Chiefs,Panthers,CBS,1:00 PM
2024,2,12,11/24/2024,Vikings,Bears,FOX,1:00 PM
2024,2,12,11/24/2024,Lions,Colts,CBS,1:00 PM
2024,2,12,11/24/2024,Titans,Texans,FOX,1:00 PM
2024,2,12,11/24/2024,Patriots,Dolphins,CBS,1:00 PM
2024,2,12,11/24/2024,Buccaneers,Giants,CBS,1:00 PM
2024,2,12,11/24/2024,Cowboys,Commanders,FOX,1:00 PM
2024,2,12,11/24/2024,Broncos,Raiders,CBS,4:05 PM
2024,2,12,11/24/2024,49ers,Packers,FOX,4:25 PM
2024,2,12,11/24/2024,Cardinals,Seahawks,FOX,4:25 PM
2024,2,12,11/24/2024,Eagles,Rams,NBC,8:20 PM
2024,2,12,11/25/2024,Ravens,Chargers,ESPN,8:15 PM
2024,2,13,11/28/2024,Bears,Lions,CBS,12:30 PM
2024,2,13,11/28/2024,Giants,Cowboys,FOX,4:30 PM
2024,2,13,11/28/2024,Dolphins,Packers,NBC,8:20 PM
2024,2,13,11/29/2024,Raiders,Chiefs,Amazon,3:00 PM
2024,2,13,12/1/2024,Chargers,Falcons,CBS,1:00 PM
2024,2,13,12/1/2024,Steelers,Bengals,CBS,1:00 PM
2024,2,13,12/1/2024,Texans,Jaguars,FOX,1:00 PM
2024,2,13,12/1/2024,Cardinals,Vikings,FOX,1:00 PM
2024,2,13,12/1/2024,Colts,Patriots,FOX,1:00 PM
2024,2,13,12/1/2024,Seahawks,Jets,FOX,1:00 PM
2024,2,13,12/1/2024,Titans,Commanders,CBS,1:00 PM
2024,2,13,12/1/2024,Buccaneers,Panthers,FOX,4:05 PM
2024,2,13,12/1/2024,Rams,Saints,FOX,4:05 PM
2024,2,13,12/1/2024,Eagles,Ravens,CBS,4:25 PM
2024,2,13,12/1/2024,49ers,Bills,NBC,8:20 PM
2024,2,13,12/2/2024,Browns,Broncos,ESPN,8:15 PM
2024,2,14,12/5/2024,Packers,Lions,Amazon,8:15 PM
2024,2,14,12/8/2024,Jets,Dolphins,CBS,1:00 PM
2024,2,14,12/8/2024,Falcons,Vikings,FOX,1:00 PM
2024,2,14,12/8/2024,Saints,Giants,FOX,1:00 PM
2024,2,14,12/8/2024,Jaguars,Titans,FOX,1:00 PM
2024,2,14,12/8/2024,Panthers,Eagles,CBS,1:00 PM
2024,2,14,12/8/2024,Browns,Steelers,CBS,1:00 PM
2024,2,14,12/8/2024,Raiders,Buccaneers,CBS,1:00 PM
