Player,Team,Pos,Injury,Status
Andrew Thomas,20,OT,Hamstring,Questionable
Ian Thomas,25,TE,Calf,IR
Jalen Thompson,31,S,Hamstring,Questionable
Shaq Thompson,25,LB,Lower Leg,IR
Joe Tippmann,2,OG,Thigh,Questionable
Shaka Toney,18,DE,Suspension,Reserve-Sus
Andrew Trainer,14,OT,Undisclosed,IR
Cory Trice,6,CB,Knee - ACL,IR
Laremy Tunsil,10,OT,Knee,Questionable
Payton Turner,27,DE,Toe,IR
Trai Turner,27,OG,Quadriceps,IR
Josh Uche,4,LB,Foot,Questionable
Olisaemeka Udoh,21,OT,Quadriceps,IR
Eyioma Uwazurike,13,DT,Suspension,Reserve-Sus
AJ Uzodinma,14,CB,Undisclosed,IR
Halapoulivaati Vaitai,22,OG,Back,Questionable
Zeke Vandenburgh,1,LB,Undisclosed,IR
Leighton Vander Esch,19,LB,Neck,IR
Vita Vea,28,DT,Groin,Questionable
Alijah Vera-Tucker,2,OG,Achilles,IR
Jalen Virgil,13,WR,Knee - Meniscus,IR
Andrew Vorhees,8,OG,Knee - ACL,NFI-R
Jaylen Waddle,1,WR,Back,Questionable
Shaun Wade,4,CB,Shoulder,Questionable
Bobby Wagner,29,LB,Ankle,Questionable
Dalton Wagner,15,OT,Undisclosed,IR
Matt Waletzko,19,OT,Shoulder,IR
Anthony Walker,7,LB,Shoulder,Questionable
Kenneth Walker,29,RB,Calf,Questionable
Levi Wallace,6,CB,Foot,Questionable
Tylan Wallace,8,WR,Hamstring,IR-R
Darren Waller,20,TE,Hamstring,Questionable
Austin Walter,15,RB,Undisclosed,IR
Prince Tega Wanogho,16,OT,Quadriceps,IR
Ar'Darius Washington,8,CB,Chest,IR
Parker Washington,11,WR,Knee,IR
Carlos Watkins,31,DT,Biceps,IR
Quez Watkins,17,WR,Hamstring,IR
Deshaun Watson,7,QB,Shoulder,Questionable
Tyrone Wheatley,4,OT,Knee,IR
Andrew Whitaker,29,CB,Knee,IR
Drew White,18,LB,Knee,PUP-R
Keion White,4,DE,Concussion,Questionable
Tre'Davious White,3,CB,Achilles,IR
Josh Whyle,9,TE,Concussion,Questionable
Elijah Wilkinson,31,OG,Neck,Questionable
Avery Williams,26,RB,Knee - ACL,IR
Connor Williams,1,C,Groin,Questionable
Damarion Williams,8,CB,Ankle,IR
K'Waun Williams,13,CB,Ankle,IR
Kyren Williams,32,RB,Ankle,IR
Marcus Williams,8,S,Hamstring,Questionable
Mike Williams,14,WR,Knee - ACL,IR
Milton Williams,17,DT,Heel,Questionable
Trent Williams,30,OT,Ankle,Questionable
Jedrick Wills,7,OT,Foot,Questionable
Deatrich Wise,4,DE,Shoulder,Questionable
Jake Witt,12,OT,Hip,IR
Samuel Womack,30,CB,Knee,IR
Jelani Woods,12,TE,Hamstring,IR
