Player,Team,Pos,Injury,Status
Matt Prater,3,K,Quadriceps,Out
Deneric Prince,4,RB,Undisclosed,IR
Frank Ragnow,22,C,Hamstring,Reserve-Ret
Bernhard Raimann,12,OT,Elbow,Questionable
Ennis Rakestraw,22,CB,Shoulder,IR
Ryan Ramczyk,27,OT,Undisclosed,Reserve-Ret
Caleb Ransaw,11,S,Lower Body,IR
Taylor Rapp,3,S,Knee,IR
Jaylen Reed,10,S,Forearm,IR
Justin Reid,27,S,Knee,Questionable
Karene Reid,13,LB,Hamstring,IR
Winston Reid,7,LB,Back,IR-R
Tip Reiman,31,TE,Ankle,IR
Josh Reynolds,2,WR,Hip,IR
Asim Richards,27,OT,Ankle,Questionable
Anthony Richardson,12,QB,Orbital,IR
Calvin Ridley,9,WR,Lower Leg,IR
J.J. Roberts,28,S,Knee,IR
Sam Roberts,26,DT,Knee,IR
Amik Robertson,22,CB,Hand,Questionable
Kye Robichaux,22,RB,Undisclosed,IR
Jakob Robinson,30,CB,Forearm,IR
Janarius Robinson,16,DE,Foot,IR
Chris Rodriguez,18,RB,Groin,Questionable
Eric Rogers,14,CB,Undisclosed,IR
Christian Roland-Wallace,16,CB,Back,IR
Kurtis Rourke,30,QB,Knee,NFI-R
Jaquelin Roy,4,DT,Undisclosed,IR
Cesar Ruiz,27,OG,Ankle,Questionable
J.J. Russell,31,LB,Concussion,IR
Nick Saldiveri,27,OG,Knee,IR
Dylan Sampson,7,RB,Calf,Questionable
Curtis Samuel,3,WR,Elbow,IR
Jack Sanborn,19,LB,Groin,IR
Drew Sanders,13,LB,Foot,IR-R
Jason Sanders,1,K,Hip,IR-R
Miles Sanders,19,RB,Knee,IR
Max Scharping,6,OG,Knee,IR
Wes Schweitzer,4,C,Undisclosed,Reserve-Ret
Daniel Scott,12,S,Knee,IR
Eric Scott,16,CB,Undisclosed,IR
Valentin Senn,31,OT,Undisclosed,IR
Tim Settle,10,DT,Foot,IR
Isaac Seumalo,6,OG,Triceps,Questionable
Spencer Shrader,12,K,Knee - ACL + MCL,IR
Josh Simmons,16,OT,Wrist,IR
Cody Simon,31,LB,Knee,Questionable
Cam Skattebo,20,RB,Ankle,IR
Jacob Slade,6,DT,Undisclosed,IR
Rashawn Slater,14,OT,Kneecap,IR
Darius Slay,3,CB,Personal,Reserve-DNR
Braden Smith,12,OT,Concussion,IR
Elerson Smith,7,DE,Undisclosed,Reserve-Ret
Geno Smith,15,QB,Shoulder,Questionable
Jaden Smith,28,WR,Undisclosed,IR
Jaylin Smith,10,CB,Undisclosed,IR
Terell Smith,23,CB,Knee,IR
Trey Smith,16,OG,Ankle,Questionable
Tykee Smith,28,S,Neck,Questionable
Za'Darius Smith,17,DE,Undisclosed,Reserve-Ret
L'Jarius Sneed,9,CB,Quadriceps,IR
Colby Sorsdal,22,OT,Leg,IR
E.J. Speed,10,LB,Knee,Questionable
Robert Spillane,4,LB,Foot,Questionable
M.J. Stewart,10,S,Quadriceps,IR
Shemar Stewart,5,DE,Knee,IR-R
Danny Striggow,11,DE,Ankle,Questionable
Justin Strnad,13,LB,Ankle,Questionable
Dorian Strong,3,CB,Neck,IR
Chazz Surratt,29,LB,Ankle,IR
Darrell Taylor,10,DE,Ankle,IR
Jawaan Taylor,16,OT,Triceps,Questionable
Mason Taylor,2,TE,Neck,Questionable
Patrick Taylor,30,RB,Shoulder,IR
Trent Taylor,30,WR,Undisclosed,IR
Tyrod Taylor,2,QB,Groin,Questionable
Cam Taylor-Britt,5,CB,Foot,IR
Dadrion Taylor-Demerson,31,S,Ankle,Questionable
Wyatt Teller,7,OG,Calf,Questionable
