Player,Team,Pos,Injury,Status,Est. Return
Duke Ejiofor,FA,LB,Undisclosed,Questionable,Subscribers Only
Austin Ekeler,WAS,RB,Achilles,IR,Subscribers Only
Daniel Ekuale,PIT,DT,Knee - ACL,IR,Subscribers Only
Hamze El-Zayat,FA,WR,Undisclosed,Questionable,Subscribers Only
Pat Elflein,FA,C,Calf,Questionable,Subscribers Only
DeShon Elliott,PIT,S,Knee,IR,Subscribers Only
Tino Ellis,FA,CB,Undisclosed,Questionable,Subscribers Only
Jonah Elliss,DEN,LB,Hamstring,Questionable,Subscribers Only
Martin Emerson,CLE,CB,Achilles,IR,Subscribers Only
Marcus Epps,PHI,S,Undisclosed,IR,Subscribers Only
Donnie Ernsberger,FA,TE,Undisclosed,Questionable,Subscribers Only
Tyler Ervin,FA,RB,Foot,Questionable,Subscribers Only
Dee Eskridge,MIA,WR,Shoulder,Questionable,Subscribers Only
Drew Estrada,FA,WR,Achilles,Questionable,Subscribers Only
Justin Evans,FA,S,Knee,Questionable,Subscribers Only
Mike Evans,TB,WR,Collarbone,IR,Subscribers Only
Obinna Eze,MIA,OT,Undisclosed,IR,Subscribers Only
Joshua Ezeudu,NYG,OG,Undisclosed,IR-R,Subscribers Only
Jequez Ezzard,FA,WR,Undisclosed,Questionable,Subscribers Only
Brandon Facyson,FA,CB,Undisclosed,Questionable,Subscribers Only
Diego Fagot,FA,LB,Undisclosed,Questionable,Subscribers Only
JayVian Farr,FA,CB,Undisclosed,Questionable,Subscribers Only
Folorunso Fatukasi,HOU,DT,Shoulder,IR,Subscribers Only
Simi Fehoko,ARI,WR,Wrist,IR,Subscribers Only
Jon Feliciano,FA,OG,Knee,Questionable,Subscribers Only
Da'Quan Felton,NYG,WR,Undisclosed,IR,Subscribers Only
Thomas Fidone,NYG,TE,Foot,IR,Subscribers Only
Sharif Finch,FA,LB,Undisclosed,Questionable,Subscribers Only
AJ Finley,SEA,S,Knee,IR,Subscribers Only
Eric Fisher,FA,OT,Calf,Questionable,Subscribers Only
Dez Fitzpatrick,FA,WR,Undisclosed,Questionable,Subscribers Only
Joe Flacco,CIN,QB,Shoulder,Questionable,Subscribers Only
Demetrius Flannigan-Fowles,NYG,LB,Neck,Questionable,Subscribers Only
Jeremy Flax,FA,OT,Undisclosed,Questionable,Subscribers Only
Julian Fleming,FA,WR,Undisclosed,Questionable,Subscribers Only
Trey Flowers,FA,LB,Foot,Questionable,Subscribers Only
Drew Forbes,FA,OG,Back,Questionable,Subscribers Only
Dee Ford,FA,DE,Back,Questionable,Subscribers Only
Bryce Ford-Wheaton,NYG,WR,Achilles,IR,Subscribers Only
Jeff Foreman,FA,WR,Knee,Questionable,Subscribers Only
Miller Forristall,FA,TE,Undisclosed,Questionable,Subscribers Only
Dante Fowler,DAL,DE,Shoulder,Questionable,Subscribers Only
Ja'Mion Franklin,FA,DT,Undisclosed,Questionable,Subscribers Only
John Franklin,FA,WR,Knee - ACL,Questionable,Subscribers Only
Miles Frazier,DET,OG,Knee,PUP-R,Subscribers Only
Zah Frazier,CHI,CB,Personal,NFI-R,Subscribers Only
Blake Freeland,IND,OT,Leg,IR,Subscribers Only
Taliese Fuaga,NO,OT,Ankle,Questionable,Subscribers Only
Josh Fuga,LAC,DT,Undisclosed,IR,Subscribers Only
X'Zauvea Gadlin,FA,OG,Undisclosed,Questionable,Subscribers Only
Tipa Galeai,FA,LB,Hamstring,Questionable,Subscribers Only
Graham Gano,NYG,K,Neck,IR,Subscribers Only
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
Nick Gargiulo,DEN,OG,Knee,IR,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Nick Gates,FA,C,Groin,Questionable,Subscribers Only
Izaiah Gathings,FA,TE,Hamstring,Questionable,Subscribers Only
Ali Gaye,TEN,LB,Knee,IR,Subscribers Only
Brandon George,KC,LB,Undisclosed,IR,Subscribers Only
Antonio Gibson,NE,RB,Knee - ACL,IR,Subscribers Only
Mark Gilbert,FA,CB,Undisclosed,Questionable,Subscribers Only
Zyon Gilbert,FA,CB,Knee,Out,Subscribers Only
Jaelen Gill,FA,WR,Undisclosed,Questionable,Subscribers Only
Cullen Gillaspia,FA,LB,Knee,Questionable,Subscribers Only
Tyree Gillespie,FA,S,Undisclosed,Questionable,Subscribers Only
Blake Gillikin,ARI,P,Back,IR,Subscribers Only
Xavier Gipson,PHI,WR,Shoulder,Questionable,Subscribers Only
Graham Glasgow,DET,OG,Knee,Questionable,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Travis Glover,GB,OT,Shoulder,IR,Subscribers Only
Matthew Golden,GB,WR,Wrist,Questionable,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Kyler Gordon,CHI,CB,Calf,IR-R,Subscribers Only
Tylan Grable,BUF,OT,Concussion,IR-R,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Colin Granger,FA,TE,Undisclosed,Questionable,Subscribers Only
