Player,Team,Pos,Injury,Status
Donte Moncrief,FA,WR,Undisclosed,Questionable
Donte Sylencieux,FA,WR,Undisclosed,Questionable
Dontrell Hilliard,FA,RB,Neck,Questionable
Dre Kirkpatrick,FA,CB,Ankle,Questionable
Drew Estrada,FA,WR,Achilles,Questionable
Duke Dawson,FA,CB,Undisclosed,Questionable
Duke Ejiofor,FA,LB,Undisclosed,Questionable
Duke Williams,FA,WR,Hamstring,Questionable
Dwayne Harris,FA,WR,Triceps,Questionable
Dylan Cantrell,FA,TE,Undisclosed,Questionable
Dylan Deatherage,FA,OT,Undisclosed,Questionable
Dylan Soehner,FA,TE,Undisclosed,Questionable
Eli Stove,FA,WR,Knee - ACL,Questionable
Elijah Nkansah,FA,OT,Undisclosed,Questionable
Elijah Ponder,FA,LB,Undisclosed,Questionable
Emanuel Hall,FA,WR,Achilles,Questionable
Eric Fisher,FA,OT,Calf,Questionable
Ethan Fernea,FA,WR,Undisclosed,Questionable
Evan Baylis,FA,TE,Ankle,Questionable
Everson Griffen,FA,DE,Personal,Questionable
Ezekiel Ansah,FA,DE,Biceps,Questionable
Forrest Lamp,FA,OG,Undisclosed,Questionable
Forrest Merrill,FA,DT,Undisclosed,Questionable
Frank Clark,FA,LB,Illness,Inactive
Gabriel Houy,FA,OT,Undisclosed,Questionable
Gareon Conley,FA,CB,Ankle,Questionable
George Iloka,FA,S,Knee - ACL,Questionable
Grant Haley,FA,CB,Knee - ACL,Questionable
Greg Little,FA,OT,Back,Questionable
Greg Long,FA,OT,Undisclosed,Questionable
Haggai Ndubuisi,FA,OT,Finger,Out
Hakeem Butler,FA,WR,Undisclosed,Questionable
Hardy Nickerson,FA,LB,Concussion,Questionable
Hayden Howerton,FA,OG,Undisclosed,Out
Henry Mondeaux,FA,DE,Undisclosed,Questionable
Hunter Bryant,FA,TE,Undisclosed,Questionable
Ian Bunting,FA,TE,Neck,Questionable
Ibraheim Campbell,FA,S,Ankle,Questionable
Isaac Nauta,FA,TE,Undisclosed,Questionable
Isaac Taylor-Stuart,FA,CB,Undisclosed,Out
Isaiah Crowell,FA,RB,Achilles,Questionable
Isaiah Ford,FA,WR,Undisclosed,Questionable
Isaiah Irving,FA,LB,Back,Questionable
Isaiah Thomas,FA,DE,Knee,Doubtful
Isaiah Weston,FA,WR,Undisclosed,Reserve-Ret
Isaiah Zuber,FA,WR,Undisclosed,Questionable
Ishmael Hyman,FA,WR,Undisclosed,Questionable
